,movieId,title,genres,overview,popularity,release_date,vote_average,vote_count,year
2013,4749,3 Ninjas Kick Back,"['Action', 'Children', 'Comedy']","During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they must use all their powers to defend him against his ancient enemy, who has returned to exact revenge.",18.741,1994-02-25,5.546,272,1994
2014,4750,3 Ninjas Knuckle Up,"['Action', 'Children']","Rocky, Colt and TumTum must battle an evil wealthy toxic waste dumper in order to save a local Indian tribe and their friend Joe. The 3 Ninjas must help find Joe's father and find a secret disk that contains evidence that could stop the toxic landfill that is destroying the Indian community. However the town is owned by the rich man and he controls the police and even the mayor. They must fight a motorcycle gang and renegade cowboys in this non-stop ninja adventure.",15.667,1995-04-07,5.08,182,1995
2015,4771,Hardball,['Drama'],"An aimless young man who is scalping tickets, gambling and drinking, agrees to coach a Little League team from the Cabrini Green housing project in Chicago as a condition of getting a loan from a friend.",17.276,2001-09-14,6.5,451,2001
2016,4772,Dinner Rush,['Drama'],"One unlucky evening, Louis Cropa, a part-time bookmaker, discovers that his restaurant has become a hotbed of conflicting characters. In addition to having to please a whiny food critic, Louis must fend off a hostile takeover from a pair of gangsters, to whom his sous-chef is in debt. Further, Louis has an argument with his son, the star chef, whose culinary creativity has brought success to the business.",4.943,2000-09-01,7.219,57,2000
2017,4774,Big Trouble,"['Comedy', 'Crime']","Leonard Hoffman is an insurance salesman struggling to make ends meet. The fact that he has triplet sons who all want to go to Yale isn't making things any easier. Blanche Rickey is also worried about money; her husband is a millionaire with a weak heart, and she worries that he'll blow through all his cash before he finally dies. When Blanche meets Leonard, she devises a murderous plan that she claims will fix both their problems.",6.233,1986-05-30,5.5,32,1986
2018,4776,Training Day,"['Crime', 'Drama', 'Thriller']","On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",58.334,2001-10-05,7.49,5442,2001
2019,4787,Little Man Tate,['Drama'],"Dede is a sole parent trying to bring up her son Fred. When it is discovered that Fred is a genius, she is determined to ensure that Fred has all the opportunities that he needs, and that he is not taken advantage of by people who forget that his extremely powerful intellect is harboured in the body and emotions of a child.",14.686,1991-09-06,6.5,254,1991
2020,4789,Phantom of the Paradise,"['Comedy', 'Fantasy', 'Horror', 'Musical', 'Thriller']","Fledgling singer-songwriter Winslow Leach finds himself double-crossed by the nefarious music producer Swan, who steals both his music and the girl Winslow wants to sing it, Phoenix, for the grand opening of his rock palace, the Paradise. After Swan has Winslow sent to prison for trespassing, Winslow endures a freak accident that leaves him disfigured, after which he seeks revenge on both Swan and the Paradise.",13.806,1974-10-31,7.463,587,1974
2021,4794,Opera,"['Crime', 'Horror', 'Mystery']",A young opera singer is stalked by a deranged fan bent on killing the people associated with her to claim her for himself.,19.76,1987-12-19,6.789,422,1987
2022,4795,Father Goose,"['Adventure', 'Comedy', 'Romance', 'War']","During World War II, South Sea beachcomber Walter Eckland is persuaded to spy on planes passing over his island. He gets more than he bargained for as schoolteacher Catherine Frenau arrives on the run from the Japanese with her pupils in tow!",14.377,1964-12-10,7.0,152,1964
2023,4798,Indiscreet,"['Comedy', 'Romance']","Anna Kalman is an accomplished actress who has given up hope of finding the man of her dreams. She is in the middle of taking off her face cream, while talking about this subject with her sister, when in walks Philip Adams. She loses her concentration for a moment as she realizes that this is the charming, smart, and handsome man she has been waiting for.",10.842,1958-07-16,6.564,156,1958
2024,4799,"It's a Mad, Mad, Mad, Mad World","['Action', 'Adventure', 'Comedy', 'Crime']","A group of strangers come across a man dying after a car crash who proceeds to tell them about the $350,000 he buried in California. What follows is the madcap adventures of those strangers as each attempts to claim the prize for himself.",24.78,1963-11-07,6.986,520,1963
2025,4800,King Solomon's Mines,"['Action', 'Adventure', 'Drama', 'Romance', 'Thriller']","Ever in search of adventure, explorer Allan Quatermain agrees to join the beautiful Jesse Huston on a mission to locate her archaeologist father, who has been abducted for his knowledge of the legendary mines of King Solomon. As the kidnappers, led by sinister German military officer Bockner, journey into the wilds of Africa, Allan and Jesse track the party and must contend with fierce natives and dangerous creatures, among other perils.",16.584,1985-11-22,5.492,370,1985
2027,7308,King Solomon's Mines,"['Adventure', 'Comedy']","Ever in search of adventure, explorer Allan Quatermain agrees to join the beautiful Jesse Huston on a mission to locate her archaeologist father, who has been abducted for his knowledge of the legendary mines of King Solomon. As the kidnappers, led by sinister German military officer Bockner, journey into the wilds of Africa, Allan and Jesse track the party and must contend with fierce natives and dangerous creatures, among other perils.",16.584,1985-11-22,5.492,370,1985
2029,25962,King Solomon's Mines,"['Action', 'Adventure', 'Romance']","Ever in search of adventure, explorer Allan Quatermain agrees to join the beautiful Jesse Huston on a mission to locate her archaeologist father, who has been abducted for his knowledge of the legendary mines of King Solomon. As the kidnappers, led by sinister German military officer Bockner, journey into the wilds of Africa, Allan and Jesse track the party and must contend with fierce natives and dangerous creatures, among other perils.",16.584,1985-11-22,5.492,370,1985
2031,4802,Operation Petticoat,"['Action', 'Comedy', 'Romance', 'War']","A World War II submarine commander finds himself stuck with a damaged sub, a con-man executive officer, and a group of army nurses.",19.728,1959-12-05,7.169,316,1959
2032,4803,Play Misty for Me,"['Drama', 'Thriller']","A brief fling between a male disc jockey and an obsessed female fan takes a frightening, and perhaps even deadly turn when another woman enters the picture.",11.805,1971-10-01,6.6,433,1971
2033,4804,Pocketful of Miracles,"['Comedy', 'Drama']",A New York gangster and his girlfriend attempt to turn street beggar Apple Annie into a society lady when the peddler learns her daughter is marrying royalty.,11.828,1961-12-18,7.25,152,1961
2034,4809,Silkwood,['Drama'],"The story of Karen Silkwood, a metallurgy worker at a plutonium processing plant who was purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing blatant worker safety violations at the plant.",16.911,1983-12-14,6.95,292,1983
2035,4811,Quadrophenia,"['Drama', 'Musical']","Based on the 1973 rock opera album of the same name by The Who, this is the story of 60s teenager Jimmy. At work he slaves in a dead-end job. While after, he shops for tailored suits and rides his scooter as part of the London Mod scene.",20.539,1979-09-14,7.1,225,1979
2036,4812,SpaceCamp,"['Adventure', 'Sci-Fi']","Andie Bergstrom, an astronaut eagerly awaiting her first trip to space, runs a summer camp for teenagers with her NASA-employed husband, Zach. One night during an engine test, Andie and four teenage campers are accidentally shot into space. Together, the group -- which includes Kathryn, a pilot-in-training, and Tish, a ditz with a perfect memory -- must work together to operate the spacecraft and return home.",9.26,1986-06-06,5.867,166,1986
2037,4813,When Worlds Collide,['Sci-Fi'],"When a group of astronomers calculate a star is on a course to slam into Earth, a few days before, it's accompanying planet will first pass close enough to the Earth to cause havoc on land and sea. They set about building a rocket so a few selected individuals can escape to the planet.",11.822,1951-09-14,6.3,158,1951
2038,4814,Don't Say a Word,['Thriller'],"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret..",18.898,2001-09-28,6.218,838,2001
2039,4816,Zoolander,['Comedy'],"Clear the runway for Derek Zoolander, VH1's three-time male model of the year. His face falls when hippie-chic Hansel scooters in to steal this year's award. The evil fashion guru Mugatu seizes the opportunity to turn Derek into a killing machine. It's a well-designed conspiracy and only with the help of Hansel and a few well-chosen accessories like Matilda can Derek make the world safe for male models everywhere.",34.971,2001-09-28,6.2,4133,2001
2040,4821,Joy Ride,"['Adventure', 'Thriller']","Three young people on a road trip from Colorado to New Jersey talk to a trucker on their CB radio, then must escape when he turns out to be a psychotic killer.",23.683,2001-10-05,6.49,1072,2001
2041,4822,Max Keeble's Big Move,"['Children', 'Comedy']","Max Keeble, the victim of his 7th grade class, plots revenge when he learns he's moving; it backfires when he doesn't move after all.",14.945,2001-10-05,5.8,137,2001
2042,4823,Serendipity,"['Comedy', 'Romance']","Although strangers Sara and Jonathan are both already in relationships, they realize they have genuine chemistry after a chance encounter – but part company soon after. Years later, they each yearn to reunite, despite being destined for the altar. But to give true love a chance, they have to find one another again.",23.528,2001-10-05,6.908,1765,2001
2043,4830,Brubaker,"['Crime', 'Drama']",The new warden of a small prison farm in Arkansas tries to clean it up of corruption after initially posing as an inmate.,15.848,1980-06-20,7.046,415,1980
2044,4835,Coal Miner's Daughter,['Drama'],"Biography of Loretta Lynn, a country and western singer that came from poverty to fame.",11.811,1980-03-07,7.27,230,1980
2045,4844,Bandits,"['Comedy', 'Crime', 'Romance']","After escaping from prison, Joe and Terry go on a crime spree, robbing banks through Oregon and California in order to finance their scheme for a new life south of the border. Unfortunately, things get more complicated when they meet Kate, who runs into them with her car. She joins the bandits on their cross-country spree, and eventually she steals something, too: their hearts.",21.629,2001-10-12,6.3,895,2001
2046,4848,Mulholland Drive,"['Crime', 'Drama', 'Film-Noir', 'Mystery', 'Thriller']","Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.",36.992,2001-06-06,7.828,5733,2001
2047,4855,Dirty Harry,"['Action', 'Crime', 'Thriller']","When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",21.254,1971-12-22,7.459,2236,1971
2048,4857,Fiddler on the Roof,"['Drama', 'Musical']","In a small Jewish community in a pre-Revolutionary Russian village, a poor milkman, determined to find good husbands for his five daughters, consults the traditional matchmaker – and also has words with God.",20.88,1971-11-03,7.697,510,1971
2049,4863,Female Trouble,"['Comedy', 'Crime']","The life and times of Dawn Davenport, showing her progression from bratty schoolgirl to crazed mass murderer - all of which stems from her parents' refusal to buy her cha-cha heels for Christmas.",9.34,1974-10-04,6.978,161,1974
2050,4865,From Hell,"['Crime', 'Horror', 'Mystery', 'Thriller']",Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,25.551,2001-02-08,6.684,2605,2001
2051,4867,Riding in Cars with Boys,"['Comedy', 'Drama']","In 1965, a young woman with dreams of becoming a writer has a son at the age of 15 and struggles to make things work with the drug-addicted father.",13.213,2001-10-19,6.776,419,2001
2052,4871,Focus,['Drama'],"Nicky, an accomplished con artist, gets romantically involved with his disciple Jess but later ends their relationship. Years later, she returns as a femme fatale to spoil his plans.",40.31,2015-02-25,6.875,7388,2015
2054,129354,Focus,"['Comedy', 'Crime', 'Drama', 'Romance']","Nicky, an accomplished con artist, gets romantically involved with his disciple Jess but later ends their relationship. Years later, she returns as a femme fatale to spoil his plans.",40.31,2015-02-25,6.875,7388,2015
2056,4873,Waking Life,"['Animation', 'Drama', 'Fantasy']","Waking Life is about a young man in a persistent lucid dream-like state. The film follows its protagonist as he initially observes and later participates in philosophical discussions that weave together issues like reality, free will, our relationships with others, and the meaning of life.",13.12,2001-10-19,7.488,808,2001
2057,4874,K-PAX,"['Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","Prot is a patient at a mental hospital who claims to be from a far away planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",18.645,2001-10-22,7.194,2193,2001
2058,4877,Better Than Sex,"['Comedy', 'Romance']",After a one-night stand a couple is faced with the terrifying possibility of what they really want.,9.369,2000-11-09,5.848,31,2000
2059,4878,Donnie Darko,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",44.682,2001-10-24,7.782,11636,2001
2060,4880,Life as a House,['Drama'],"When a man is diagnosed with terminal cancer, he takes custody of his misanthropic teenage son, for whom quality time means getting high, engaging in small-time prostitution, and avoiding his father.",15.897,2001-10-25,7.051,374,2001
2061,4885,Domestic Disturbance,['Thriller'],"Frank Morrison is a divorced father with a 12-year-old son, Danny. His ex-wife Susan and son Danny now live with Rick Barnes, Susan's new husband. Danny, who has a reputation for telling lies, accuses his stepfather of committing a murder. Initially, no one believes his accusations, but then Frank becomes convinced and is the only one who believes him. Now, the father Danny trusts must protect him from the stepfather he fears.",11.572,2001-10-28,5.8,383,2001
2062,4886,"Monsters, Inc.","['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']","Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.",127.37,2001-11-01,7.837,17361,2001
2063,4888,Tape,['Drama'],Three old high school friends meet in a Michigan motel room to dissect painful memories from their past.,9.575,2001-11-02,6.862,197,2001
2064,4889,Heist,"['Crime', 'Drama']","Joe Moore has a job he loves. He's a thief. His job goes sour when he gets caught on security camera tape. His fence, Bergman, reneges on the money he's owed, and his wife may be betraying him with the fence's young lieutenant. Moore and his partner, Bobby Blane, and their utility man, Pinky Pincus, find themselves broke, betrayed, and blackmailed. Moore is forced to commit his crew to do one last big job.",15.209,2001-11-09,6.302,492,2001
2065,4890,Shallow Hal,"['Comedy', 'Fantasy', 'Romance']","After taking his dying father's advice, Hal dates only the embodiments of female physical perfection. But that all changes after Hal has an unexpected run-in with self-help guru Tony Robbins. Intrigued by Hal's shallowness, Robbins hypnotizes him into seeing the beauty that exists even in the least physically appealing women. Hal soon falls for Rosemary, but he doesn't realize that his gorgeous girlfriend is actually a 300-pound-not-so-hottie.",32.36,2001-11-01,6.15,2703,2001
2066,4893,When a Stranger Calls,"['Horror', 'Thriller']","Far away from the site of a gruesome murder, a teenager named Jill Johnson arrives at a luxurious home for a baby-sitting job. With the children fast asleep, she settles in for what she expects to be an ordinary evening. Soon, the ringing of a phone and the frightening words of a sadistic caller turn Jill's routine experience into a night of terror.",24.953,2006-02-03,5.745,978,2006
2068,43904,When a Stranger Calls,"['Horror', 'Thriller']","Far away from the site of a gruesome murder, a teenager named Jill Johnson arrives at a luxurious home for a baby-sitting job. With the children fast asleep, she settles in for what she expects to be an ordinary evening. Soon, the ringing of a phone and the frightening words of a sadistic caller turn Jill's routine experience into a night of terror.",24.953,2006-02-03,5.745,978,2006
2070,4899,Black Knight,"['Adventure', 'Comedy', 'Fantasy']","Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After nearly drowning in the moat, he awakens to find himself in 14th century England.",19.645,2001-11-21,5.375,1033,2001
2071,4901,Spy Game,"['Action', 'Crime', 'Drama', 'Thriller']","On the day of his retirement, a veteran CIA agent learns that his former protégé has been arrested in China, is sentenced to die the next morning in Beijing, and that the CIA is considering letting that happen to avoid an international scandal.",18.176,2001-11-18,6.9,1891,2001
2072,4903,In the Bedroom,['Drama'],"Summertime on the coast of Maine, ""In the Bedroom"" centers on the inner dynamics of a family in transition. Matt Fowler is a doctor practicing in his native Maine and is married to New York born Ruth Fowler, a music teacher. His son is involved in a love affair with a local single mother. As the beauty of Maine's brief and fleeting summer comes to an end, these characters find themselves in the midst of unimaginable tragedy.",11.41,2001-11-23,6.927,314,2001
2073,4911,Jabberwocky,"['Adventure', 'Comedy', 'Fantasy']",A medieval tale with Pythonesque humour: After the death of his father the young Dennis Cooper goes to town where he has to pass several adventures. The town and the whole kingdom is threatened by a terrible monster called 'Jabberwocky'. Will Dennis make his fortune? Is anyone brave enough to defeat the monster?,11.072,1977-03-28,6.0,238,1977
2074,4912,Funny Girl,"['Drama', 'Musical', 'Romance']","The story of the life of comedienne Fanny Brice, from her early days in the Jewish slums of the Lower East Side, to the height of her career with the Ziegfeld Follies, including her marriage to and eventual divorce from her second husband, Nick Arnstein.",15.166,1968-09-19,7.2,366,1968
2075,4916,Midway,"['Drama', 'War']","This war drama depicts the U.S. and Japanese forces in the naval Battle of Midway, which became a turning point for Americans during World War II.",32.26,1976-06-18,6.63,265,1976
2077,4917,MacArthur,['Drama'],"The film portrays MacArthur's life from 1942, before the Battle of Bataan, to 1952, the time after he had been removed from his Korean War command by President Truman for insubordination, and is recounted in flashback as he visits West Point.",16.763,1977-07-01,6.153,72,1977
2078,4919,Subway,"['Crime', 'Drama', 'Romance', 'Thriller']","Fred, a raffish safe blower, takes refuge in the Paris Metro after being chased by the henchmen of a shady businessman from whom he has just stolen some documents. While hiding out in the back rooms and conduits of the Metro, Fred encounters a subterranean society of eccentric characters and petty criminals.",17.296,1985-04-10,6.5,402,1985
2079,4920,"Now, Voyager","['Drama', 'Romance']",A woman suffers a nervous breakdown and an oppressive mother before being freed by the love of a man she meets on a cruise.,14.392,1942-10-22,7.344,179,1942
2080,4932,Dressed to Kill,"['Mystery', 'Thriller']","After witnessing a mysterious woman brutally slay a homemaker, prostitute Liz Blake finds herself trapped in a dangerous situation. While the police thinks she is the murderer, the real killer is intent on silencing her only witness.",19.555,1980-07-25,6.931,810,1980
2082,4936,Fame,"['Drama', 'Musical']",A chronicle of the lives of several teenagers who attend a New York high school for students gifted in the performing arts.,20.984,1980-05-16,6.451,406,1980
2084,4941,Flash Gordon,"['Action', 'Adventure', 'Sci-Fi']",A football player and his mates travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,27.142,1980-09-01,6.186,872,1980
2085,4957,Sudden Impact,"['Crime', 'Thriller']","When a young rape victim takes justice into her own hands and becomes a serial killer, it's up to Dirty Harry Callahan, on suspension from the SFPD, to bring her to justice.",26.597,1983-12-08,6.552,809,1983
2086,4958,Behind Enemy Lines,"['Action', 'Drama', 'War']","While flying a routine reconnaissance mission over Bosnia, fighter pilot Chris Burnett photographs something he wasn't supposed to see and gets shot down behind enemy lines, where he must outrun an army led by a ruthless Serbian general. With time running out and a deadly tracker on his trail, Burnett's commanding officer decides to risk his career and launch a renegade rescue mission to save his life.",41.527,2001-11-30,6.347,1344,2001
2087,4963,Ocean's Eleven,"['Crime', 'Thriller']","Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",40.063,2001-12-07,7.431,10883,2001
2089,4969,And Then There Were None,"['Crime', 'Mystery']","Ten people are invited to a hotel in the Iranian desert, only to find that an unseen person is killing them one by one. Could one of them be the killer?",12.206,1974-09-24,5.7,90,1974
2090,4974,Not Another Teen Movie,['Comedy'],"On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled plain Jane into a beautiful and popular prom queen in this outrageous send-up of the teen movies of the 1980s and '90s.",40.593,2001-12-07,5.791,1913,2001
2091,4975,Vanilla Sky,"['Mystery', 'Romance', 'Sci-Fi', 'Thriller']","David Aames has it all: wealth, good looks and gorgeous women on his arm. But just as he begins falling for the warmhearted Sofia, his face is horribly disfigured in a car accident. That's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred.",24.12,2001-12-10,6.815,3860,2001
2092,4976,Iris,['Drama'],"IRIS pairs legendary 87-year-old documentarian Albert Maysles with Iris Apfel, the quick-witted, flamboyantly dressed 93-year-old style maven who has had an outsized presence on the New York fashion scene for decades. More than a fashion film, the documentary is a story about creativity and how, even in Iris’ dotage, a soaring free spirit continues to inspire. IRIS portrays a singular woman whose enthusiasm for fashion, art and people are life’s sustenance and reminds us that dressing, and indeed life, is nothing but an experiment.",6.279,2014-10-09,7.374,99,2014
2093,4980,Bill & Ted's Bogus Journey,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","Amiable slackers Bill and Ted are once again roped into a fantastical adventure when De Nomolos, a villain from the future, sends evil robot duplicates of the two lads to terminate and replace them. The robot doubles actually succeed in killing Bill and Ted, but the two are determined to escape the afterlife, challenging the Grim Reaper to a series of games in order to return to the land of the living.",16.177,1991-07-19,6.299,1096,1991
2094,4981,Clockwise,['Comedy'],An uncompromising British school headmaster finds himself beset by one thing going wrong after another.,7.567,1986-03-01,6.324,170,1986
2095,4988,White Water Summer,['Adventure'],"When the experienced guide Vic accompanies the city boy Alan and his three friends on their first wilderness experience, he not only hopes to teach the four boys lessons about the wilderness, but about themselves. Vic pushes them to the limit. Soon after alienating the boys, Vic finds himself in desperate need of help and must rely on his students in order to survive.",11.494,1987-07-10,6.3,79,1987
2096,4989,How High,['Comedy'],"Multi-platinum rap superstars Redman and Method Man star as Jamal and Silas, two regular guys who smoke something magical, ace their college entrance exams and wind up at Harvard. Ivy League ways are strange but Silas and Jamal take it in a stride -- until their supply of supernatural smoke runs dry. That's when they have to start living by their wits and rely on their natural resources to make the grade.",19.209,2001-12-21,6.316,886,2001
2097,4990,Jimmy Neutron: Boy Genius,"['Adventure', 'Animation', 'Children', 'Comedy']","Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents.",28.636,2001-12-21,5.975,838,2001
2098,4992,Kate & Leopold,"['Comedy', 'Romance']","When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history.",20.861,2001-12-25,6.3,1242,2001
2099,5007,Topkapi,"['Adventure', 'Comedy', 'Thriller']",Arthur Simon Simpson is a small-time crook biding his time in Greece. One of his potential victims turns out to be a gentleman thief planning to steal the emerald-encrusted dagger of the Mehmed II from Istanbul's Topkapi Museum.,10.776,1964-09-02,6.476,169,1964
2100,5008,Witness for the Prosecution,"['Drama', 'Mystery', 'Thriller']","When Leonard Vole is arrested for the sensational murder of a rich, middle-aged widow, the famous Sir Wilfrid Robarts agrees to appear on his behalf. Sir Wilfrid, recovering from a near-fatal heart attack, is supposed to be on a diet of bland, civil suits—but the lure of the criminal courts is too much for him, especially when the case is so difficult.",24.192,1957-12-17,8.22,1238,1957
2101,5009,Ali,['Drama'],"In 1964, a brash, new pro boxer, fresh from his Olympic gold medal victory, explodes onto the scene: Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self-confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.",19.975,2001-12-10,6.764,1572,2001
2102,5010,Black Hawk Down,"['Action', 'Drama', 'War']","When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.",44.034,2001-12-28,7.4,5288,2001
2103,5011,Charlotte Gray,"['Drama', 'Romance']","This is a drama set in Nazi-occupied France at the height of World War II. Charlotte Gray tells the compelling story of a young Scottish woman working with the French Resistance in the hope of rescuing her lover, a missing RAF pilot. Based on the best-selling novel by Sebastian Faulks.",11.086,2001-12-28,6.0,146,2001
2104,5012,Yentl,"['Drama', 'Musical', 'Romance']","Rebbe Mendel is a single father who teaches the Talmud, a sacred text of Judaism, to the boys of his small Polish town. Behind closed doors, he also instructs his daughter, Yentl, despite the fact that girls are forbidden to study religious scripture. When Yentl's father dies, she still has a strong desire to learn about her faith -- so she disguises herself as a male, enrolls in a religious school, and unexpectedly finds love along the way.",18.804,1983-11-18,6.571,203,1983
2105,5014,I Am Sam,['Drama'],"Sam, a neurodivergent man, has a daughter with a homeless woman who abandons them when they leave the hospital, leaving Sam to raise Lucy on his own. But as Lucy grows up, Sam's limitations as a parent start to become a problem and the authorities take her away. Sam convinces high-priced lawyer Rita to take his case pro bono and in turn teaches her the value of love and family.",22.044,2001-12-28,7.57,2129,2001
2106,5015,Monster's Ball,"['Drama', 'Romance']",A prison guard begins a tentative romance with the unsuspecting widow of a man whose execution he presided over.,19.13,2001-06-07,6.767,890,2001
2107,5021,Murder by Death,"['Comedy', 'Crime', 'Mystery', 'Thriller']","Lionel Twain invites the world's five greatest detectives to a 'dinner and murder'. Included are a blind butler, a deaf-mute maid, screams, spinning rooms, secret passages, false identities and more plot turns and twists than are decently allowed.",16.846,1976-06-23,7.194,732,1976
2108,5025,Orange County,['Comedy'],"Shaun Brumder is a local surfer kid from Orange County who dreams of going to Stanford to become a writer and to get away from his dysfunctional family household. Except Shaun runs into one complication after another, starting when his application is rejected after his dim-witted guidance counselor sends in the wrong form.",14.072,2002-01-10,6.011,418,2002
2109,5027,Another 48 Hrs.,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","For the past four years, San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the Ice Man. Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond, who is scheduled to be released from prison on the next day.",18.947,1990-06-08,5.99,773,1990
2110,5039,Dragonslayer,"['Action', 'Adventure', 'Fantasy']",The sorcerer and his apprentice Galen are on a mission to kill an evil dragon to save the King’s daughter from being sacrificed according to a pact that the King himself made with the dragon to protect his kingdom.,17.075,1981-06-26,6.433,240,1981
2111,5040,Conan the Destroyer,"['Action', 'Adventure', 'Fantasy']","Conan is commissioned by the evil queen Taramis to safely escort a teen princess and her powerful bodyguard to a far away castle to retrieve the magic Horn of Dagoth. Unknown to Conan, the queen plans to sacrifice the princess when she returns and inherit her kingdom after the bodyguard kills Conan. The queen's plans fail to take into consideration Conan's strength and cunning and the abilities of his sidekicks: the eccentric wizard Akiro, the warrior woman Zula, and the inept Malak. Together the hero and his allies must defeat both mortal and supernatural foes in this voyage to sword-and-sorcery land.",34.599,1984-06-29,6.083,1363,1984
2112,5041,Fire and Ice,"['Animation', 'Fantasy']","In this animated tale, a tiny village is destroyed by a surging glacier, which serves as the deadly domain for the evil Ice Lord, Nekron. The only survivor is a young warrior, Larn, who vows to avenge this act of destruction. The evil continues, however, as Nekron's palace of ice heads straight towards Fire Keep, the great fortress ruled by the good King Jarol. When Jarol's beautiful daughter, Teegra, is abducted by Nekron's sub-human ape-like creatures, Larn begins a daring search for her. What results is a tense battle between good and evil, surrounded by the mystical elements of the ancient past.",19.907,1983-03-25,6.649,241,1983
2113,65651,Fire and Ice,"['Adventure', 'Fantasy']","In this animated tale, a tiny village is destroyed by a surging glacier, which serves as the deadly domain for the evil Ice Lord, Nekron. The only survivor is a young warrior, Larn, who vows to avenge this act of destruction. The evil continues, however, as Nekron's palace of ice heads straight towards Fire Keep, the great fortress ruled by the good King Jarol. When Jarol's beautiful daughter, Teegra, is abducted by Nekron's sub-human ape-like creatures, Larn begins a daring search for her. What results is a tense battle between good and evil, surrounded by the mystical elements of the ancient past.",19.907,1983-03-25,6.649,241,1983
2114,5046,Impostor,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",A top-secret government weapons designer is arrested by a clandestine government organization on suspicion of being a clone created by the hostile alien race wanting to take over Earth.,11.638,2001-12-03,6.107,387,2001
2115,5048,Snow Dogs,"['Adventure', 'Children', 'Comedy']","When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man.",19.96,2002-01-18,5.638,683,2002
2116,5049,48 Hrs.,"['Action', 'Comedy', 'Crime', 'Drama']","A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",24.946,1982-12-07,6.681,1331,1982
2117,5054,Brainstorm,"['Sci-Fi', 'Thriller']",Two brilliant research scientists have invented a device capable of recording and playing back sensory experiences only to have devastating results when one of them records their own death.,8.562,1983-09-30,6.2,222,1983
2119,44719,Brainstorm,['Drama'],Two brilliant research scientists have invented a device capable of recording and playing back sensory experiences only to have devastating results when one of them records their own death.,8.562,1983-09-30,6.2,222,1983
